UserId,Gender,AgeSept2018,IsAdvantaged
3783,2,7,1
3806,1,8,1
3808,1,9,1
3850,1,7,1
9172,1,7,1
3913,1,8,1
3915,1,9,1
3956,2,8,1
3974,2,10,1
3993,2,8,1
4010,2,8,1
4012,1,7,0
4014,2,7,1
4031,1,10,1
4033,1,10,1
4036,1,9,1
4066,2,8,1
4069,2,7,0
4082,1,9,1
4099,1,10,1
4105,2,8,1
4123,1,7,1
8617,1,14,1
9338,2,14,1
10568,2,15,1
10625,1,14,1
10667,1,11,1
10701,1,15,0
10724,2,12,1
10726,1,11,0
10796,2,14,1
10798,2,12,0
10896,2,14,1
10989,1,14,1
11062,1,13,1
11089,1,14,1
11121,2,15,1
11155,1,14,1
11157,1,12,1
11201,2,11,1
11221,2,12,0
11232,2,14,1
11264,1,13,1
11296,2,15,1
11361,1,11,0
11836,1,11,1
11846,2,11,1
11396,2,11,1
11422,1,12,1
12090,1,13,1
12237,1,11,0
11489,1,15,1
11520,1,12,1
11551,1,15,1
11560,1,11,1
3898,1,14,1
3180,2,12,1
16025,1,10,1
16921,1,6,1
17671,2,12,1
1271,1,15,1
1337,2,15,0
1520,2,15,1
1794,1,13,1
1838,1,13,1
1877,2,14,1
1969,1,13,1
2063,2,13,1
2066,1,14,1
2118,1,13,1
2356,1,13,1
2391,2,13,1
2436,2,14,1
2441,2,14,1
2461,1,14,1
2488,2,13,1
2514,1,14,1
6334,2,14,1
6350,1,14,1
6853,2,12,1
6936,1,13,0
6940,1,13,0
6987,1,14,0
6994,1,14,0
6996,1,14,1
7016,2,14,0
7017,2,14,0
7043,2,14,1
7089,2,14,1
7099,2,14,0
7126,2,14,1
7145,1,14,0
7155,2,14,0
7304,2,13,1
7306,2,14,1
7308,2,12,1
7322,2,12,0
7353,2,11,0
7360,2,11,1
7373,2,11,0
7389,2,13,1
13589,2,11,0
7557,1,11,0
7562,1,11,0
7564,2,11,1
7566,2,11,1
7570,2,11,1
7592,1,11,1
7593,1,11,0
7598,2,11,1
7624,1,12,1
7658,1,12,1
7665,1,12,0
17637,2,13,0
309,1,12,1
577,1,14,1
3467,1,8,0
6020,2,14,0
8330,1,14,1
14639,2,9,0
1538,1,15,1
1655,2,15,1
1771,1,15,0
1780,2,15,1
1848,2,14,0
1882,1,15,0
3419,1,11,1
3444,2,11,1
3443,2,12,1
3453,1,11,0
3475,1,11,1
3486,2,12,1
3490,1,13,1
3509,2,12,1
3511,1,12,1
3516,2,12,1
3540,2,12,0
3542,2,11,1
3549,2,11,0
3551,1,11,0
3576,2,12,1
3583,2,12,1
3585,2,11,1
3604,1,12,1
3606,1,12,1
1005,1,15,1
7002,2,13,1
8233,2,15,1
9000,1,15,1
17168,2,15,0
17229,2,15,1
504,1,15,1
5948,2,13,0
5956,2,13,0
6008,1,14,1
6011,1,15,1
6025,1,13,1
6031,1,15,0
6032,1,13,1
6033,2,15,1
6043,1,13,1
6195,2,14,1
6268,1,14,1
6335,2,15,1
6347,2,15,1
6394,2,15,1
6417,2,15,1
6426,1,14,1
6507,1,14,1
6628,2,15,1
6658,1,14,1
9226,2,13,1
9234,2,14,0
9249,1,14,1
9263,2,14,1
9271,2,14,1
9304,1,14,1
9310,2,13,1
9319,1,14,1
9321,1,13,0
9351,1,14,1
9354,2,13,1
9419,1,14,1
9470,2,13,1
9615,1,13,1
9625,2,13,1
9629,1,13,1
9633,1,13,1
9850,1,14,1
9860,1,14,1
9884,2,13,1
9899,2,14,1
9909,2,13,1
1570,2,12,1
1583,2,12,1
1615,1,12,1
5118,2,12,0
5121,2,12,1
5128,1,12,1
5134,2,12,1
5146,2,12,0
5152,1,12,1
5159,1,12,0
5244,1,12,0
5250,2,12,1
4458,1,14,1
6045,1,13,1
11275,1,14,1
12606,2,15,1
13158,2,14,0
13814,1,15,1
14376,1,12,1
14383,1,13,1
14386,2,13,1
14411,1,13,1
14414,1,12,1
14440,1,12,1
14446,1,12,0
14449,1,14,0
14455,2,12,1
14476,1,13,1
14480,1,13,0
14509,2,12,1
14546,2,13,1
14550,1,13,1
14564,1,12,1
14571,2,13,1
14590,1,14,0
14595,2,12,1
14605,1,12,1
14621,1,12,1
14626,2,13,1
14667,1,13,1
15555,1,15,1
16703,1,10,1
16704,2,10,1
16713,1,10,1
16735,1,10,1
16741,1,10,1
16773,1,10,1
16809,1,10,1
16818,2,10,1
16823,1,10,1
16834,1,10,1
16843,1,10,1
16864,2,10,0
16929,2,11,1
16939,2,11,1
16944,1,11,1
16989,2,11,1
16995,1,11,1
17012,1,11,1
6827,2,14,0
10691,2,14,1
11046,2,14,1
16104,2,14,0
7502,1,14,1
7609,1,14,1
7651,1,14,1
7669,2,14,1
7680,1,14,1
7697,1,14,1
7722,2,14,1
7741,2,14,1
7774,1,14,1
7794,2,14,1
7814,1,14,1
7826,2,14,1
7839,2,14,1
7848,2,14,1
7886,1,14,1
7896,2,14,1
7903,2,14,1
7916,1,14,1
7948,2,14,1
7998,2,14,1
8023,1,14,1
8030,2,14,1
8036,1,14,1
8046,2,14,1
8072,1,14,1
8105,1,14,1
8130,1,14,1
8135,1,14,1
