QuizAQuestionId,QuizAAnswersCount,QuizACorrectAnswersCount,QuizBQuestionId,QuizBAnswersCount,QuizBCorrectAnswersCount,QuizBNotAAnswersCount,QuizBNotACorrectAnswersCount
6036,1501,744,6327,1184,596,415.0,182.0
4351,1143,455,4598,1022,466,475.0,234.0
5940,1372,638,816,1137,565,427.0,220.0
1057,92,61,1327,88,59,12.0,8.0
11673,2578,1217,11683,1381,625,357.0,135.0
5008,1784,1359,1750,1153,889,573.0,483.0
813,1809,1585,7916,1045,904,382.0,311.0
552,1018,618,911,1182,676,642.0,353.0
6019,1259,632,6310,1058,597,339.0,168.0
12293,1154,648,12303,970,548,409.0,221.0
2287,1452,901,2775,1139,896,806.0,654.0
9757,740,423,9770,419,250,87.0,61.0
3557,2996,1950,3769,2229,1386,576.0,347.0
11315,2292,1065,12047,1520,659,436.0,203.0
5256,2840,1063,1807,2598,1046,1261.0,486.0
5033,2379,1536,5043,2071,1333,851.0,571.0
10958,2142,939,10969,1137,553,250.0,120.0
12190,1203,709,12200,1221,528,520.0,215.0
1046,56,31,1315,31,18,3.0,1.0
11695,2316,1454,11705,1241,773,491.0,318.0
5239,2349,1253,1789,1151,642,468.0,245.0
6068,1824,1337,6359,1282,795,512.0,333.0
6051,1133,727,6342,1802,813,978.0,454.0
1560,576,353,2209,518,329,201.0,180.0
1126,2410,885,1157,1906,757,773.0,253.0
8301,2777,1087,9482,3320,1862,1702.0,914.0
5972,2199,1279,6266,2246,1408,845.0,581.0
11135,1470,627,11145,1130,404,187.0,82.0
5923,707,409,6217,478,272,112.0,65.0
239,1387,551,330,803,452,298.0,176.0
3119,1203,787,3263,1184,846,785.0,530.0
6995,653,338,3266,296,150,52.0,26.0
11308,1105,553,12032,757,431,295.0,178.0
4788,1082,594,5143,278,206,70.0,53.0
10987,3826,2878,10997,1322,905,432.0,322.0
5955,3353,1742,6245,2313,1266,1019.0,562.0
11598,2453,1709,11608,1231,769,273.0,156.0
12113,1566,805,12123,1085,576,253.0,149.0
6496,138,81,6929,144,96,25.0,18.0
12212,897,394,12222,520,185,135.0,45.0
409,1010,533,13133,913,247,410.0,123.0
2884,1209,748,2944,598,444,231.0,181.0
3537,1724,1183,3875,1229,744,266.0,170.0
3781,1816,680,3791,1270,438,253.0,74.0
3481,1340,959,3850,881,591,207.0,165.0
10577,3261,2248,749,1767,1190,572.0,374.0
203,971,755,297,887,815,621.0,580.0
3238,1771,1361,3327,1721,1258,1188.0,885.0
5697,1141,667,6946,523,295,179.0,92.0
4613,1360,1129,6973,828,528,166.0,117.0
10090,969,680,10100,850,585,466.0,332.0
97,463,382,148,290,247,102.0,97.0
3142,1548,922,3306,1537,945,831.0,523.0
11141,1447,673,11151,1174,610,202.0,102.0
5421,942,299,1820,907,536,419.0,245.0
11255,1244,675,11265,670,333,160.0,77.0
6114,3074,1745,6397,2043,1299,577.0,444.0
9900,333,222,9906,196,131,15.0,8.0
351,899,558,820,603,383,217.0,120.0
7536,2139,1113,8174,2085,1267,1056.0,622.0
7209,1255,988,9198,772,587,206.0,170.0
7636,835,556,12431,957,548,622.0,312.0
3131,1426,989,3295,1070,672,581.0,406.0
11830,1902,1009,8503,1274,864,299.0,195.0
12898,2051,1441,909,1525,1030,975.0,693.0
3687,426,303,3702,284,191,131.0,84.0
12649,2342,1331,12664,2409,1755,953.0,696.0
7176,1931,1345,9282,1440,839,392.0,243.0
2154,939,636,12748,448,224,239.0,106.0
11430,397,117,11440,524,181,50.0,31.0
9966,787,484,9976,630,425,245.0,168.0
5220,2709,1381,1684,2986,1769,1466.0,922.0
5572,441,285,5845,320,237,133.0,100.0
10464,1253,805,10474,1124,718,540.0,335.0
2337,1918,776,3215,619,341,101.0,54.0
4951,1428,559,1621,990,404,426.0,161.0
1899,192,80,1925,241,87,21.0,19.0
8566,1240,813,8986,540,359,145.0,104.0
6175,1186,574,9103,1065,539,378.0,212.0
1479,2499,1493,1880,956,533,407.0,224.0
12774,1705,861,12795,1308,676,247.0,109.0
10671,1512,1006,6448,833,561,415.0,260.0
4194,768,644,6836,433,344,165.0,123.0
7397,1257,525,9663,1070,411,345.0,175.0
8072,1213,743,8070,909,611,180.0,123.0
4004,2934,2070,50,1421,774,373.0,167.0
5621,636,508,13142,604,464,373.0,299.0
1341,212,158,6735,192,113,44.0,26.0
11938,1204,716,12477,1049,648,292.0,189.0
7313,1771,592,9249,1426,691,270.0,144.0
7677,9373,3547,8285,2666,1647,945.0,557.0
8485,2024,811,9256,1702,752,356.0,172.0
3988,5753,3736,3767,3850,2359,1086.0,667.0
11721,825,542,11731,716,472,242.0,157.0
12524,2172,1679,12564,971,589,445.0,261.0
4036,1872,1316,126,1503,921,476.0,282.0
666,2773,1989,6395,3958,2751,2518.0,1795.0
2919,696,353,2963,836,497,467.0,309.0
2990,776,527,3057,465,327,257.0,177.0
6004,562,207,6295,408,174,114.0,51.0
11841,1320,561,7294,1185,613,263.0,116.0
7031,1385,591,7075,828,446,245.0,120.0
11161,1070,480,11171,774,269,175.0,58.0
451,2773,2041,7876,1576,1185,591.0,440.0
